agent;A;B;C
Gen_A_Baseload;1;0;0
Gen_A_MidMerit;1;0;0
Gen_A_Peak;1;0;0
Gen_A_WindOnshore;0;0;0
Gen_A_PV;0;0;0
Gen_B_Baseload;0;1;0
Gen_B_MidMerit;0;1;0
Gen_B_Peak;0;1;0
Gen_B_WindOnshore;0;0;0
Gen_B_PV;0;0;0
Gen_C_Baseload;0;0;1
Gen_C_MidMerit;0;0;1
Gen_C_Peak;0;0;1
Gen_C_WindOnshore;0;0;0
Gen_C_PV;0;0;0
Cons_A;1;0;0
Cons_B;0;1;0
Cons_C;0;0;1
