;A;B;C
18-08-2022 14:00;0.3069460705775582;0.481472622328532;0.452275
18-08-2022 15:00;0.2403233561985225;0.4572437593906768;0.465425
18-08-2022 16:00;0.1623463056372429;0.3603471368869889;0.4136
18-08-2022 17:00;0.0844498122401719;0.2267711397989539;0.3458
18-08-2022 18:00;0.0278483832276277;0.0997218854426378;0.26305
18-08-2022 19:00;0.0026832561266115;0.0176066602990237;0.153575
18-08-2022 20:00;7.430741096601532e-05;1.751557928673277e-06;0.057225
18-08-2022 21:00;6.124758177651262e-05;0.0;0.00345
18-08-2022 22:00;7.409190223351525e-05;0.0;0.0
18-08-2022 23:00;6.021313986051241e-05;0.0;0.0
28-09-2022 00:00;6.154929400201268e-05;0.0;0.0
28-09-2022 01:00;5.943730842351224e-05;0.0;0.0
28-09-2022 02:00;6.11613782835126e-05;0.0;0.0
28-09-2022 03:00;5.92217996910122e-05;0.0;0.0
28-09-2022 04:00;6.581636690551356e-05;0.0;0.0
28-09-2022 05:00;9.99529501335206e-05;0.0;0.0
28-09-2022 06:00;0.0041966877514663;0.0012085749707845;0.0
28-09-2022 07:00;0.0349595248739317;0.0586189513094264;0.000225
28-09-2022 08:00;0.0882502225343171;0.2250506720235146;0.0435
28-09-2022 09:00;0.1430172843175674;0.3847708606444091;0.15985
28-09-2022 10:00;0.1955893034568118;0.5074635525426326;0.277675
28-09-2022 11:00;0.2293135322760532;0.4380987933407957;0.365375
28-09-2022 12:00;0.2325320258907018;0.3704930361888288;0.412775
28-09-2022 13:00;0.2213884572488431;0.3509675441789435;0.4512
28-09-2022 14:00;0.1936216656273398;0.3833048066581095;0.400925
28-09-2022 15:00;0.1435735123561501;0.2891743320132789;0.285125
28-09-2022 16:00;0.0725360584901044;0.17966780609159;0.239
28-09-2022 17:00;0.0141704318915684;0.0564767959626589;0.199375
28-09-2022 18:00;0.0002080521303555;0.0027354955951054;0.153575
28-09-2022 19:00;6.124758177651262e-05;0.0;0.053675
28-09-2022 20:00;6.646289310301369e-05;0.0;0.000425
28-09-2022 21:00;5.68081018870117e-05;0.0;0.0
28-09-2022 22:00;6.585946865201357e-05;0.0;0.0
