;A;B;C
04-12-2022 15:00;54258;9921;13670
04-12-2022 16:00;55682;10052;14075
04-12-2022 17:00;57713;10508;14694
04-12-2022 18:00;57935;10675;14494
04-12-2022 19:00;56290;10518;14077
04-12-2022 20:00;53889;10220;13613
04-12-2022 21:00;52566;9824;13042
04-12-2022 22:00;51748;9660;12326
04-12-2022 23:00;49161;9406;11574
27-12-2022 00:00;41066;8110;10549
27-12-2022 01:00;39513;7715;10052
27-12-2022 02:00;39461;7308;9784
27-12-2022 03:00;40153;7177;9650
27-12-2022 04:00;41125;7235;9710
27-12-2022 05:00;42474;7565;10015
27-12-2022 06:00;45361;8021;10802
27-12-2022 07:00;49137;8516;11766
27-12-2022 08:00;52672;9060;12813
27-12-2022 09:00;54747;9359;13055
27-12-2022 10:00;55663;9412;12454
27-12-2022 11:00;56756;9550;12044
27-12-2022 12:00;56712;9437;12118
27-12-2022 13:00;55445;9268;12384
27-12-2022 14:00;54381;9026;12901
27-12-2022 15:00;54136;8981;13424
27-12-2022 16:00;55544;9301;14192
27-12-2022 17:00;58227;9946;15209
27-12-2022 18:00;58487;9976;14708
27-12-2022 19:00;56460;9712;14050
27-12-2022 20:00;52992;9218;13379
27-12-2022 21:00;50690;8781;12700
27-12-2022 22:00;49048;8761;11996
27-12-2022 23:00;45760;8665;11344
