;A;B;C
01-02-2022 00:00;0.3263491428930012;0.2087201061193346;0.452923077
01-02-2022 01:00;0.3267206514965291;0.2110906284344813;0.391807692
01-02-2022 02:00;0.3341844987189918;0.2113809471129937;0.365076923
01-02-2022 03:00;0.3347755494774986;0.1948981248184216;0.337076923
01-02-2022 04:00;0.3488746638796083;0.1946243485147532;0.325769231
01-02-2022 05:00;0.3763462397072146;0.1982272777557787;0.358461538
01-02-2022 06:00;0.4254650326599384;0.2273468201936905;0.390192308
01-02-2022 07:00;0.4668429134857848;0.2911176752173513;0.428730769
01-02-2022 08:00;0.4978686378757191;0.3503244890215495;0.495115385
01-02-2022 09:00;0.5378344614283819;0.3709470406208354;0.5545
01-02-2022 10:00;0.583064878809124;0.410476699548083;0.603269231
01-02-2022 11:00;0.6240537147073589;0.4326443089577994;0.630730769
01-02-2022 12:00;0.654951410407326;0.4978287099118809;0.659576923
01-02-2022 13:00;0.6846603326726332;0.513973240640893;0.682153846
01-02-2022 14:00;0.7176414248186681;0.4972538623860515;0.691884615
01-02-2022 15:00;0.7323607570787243;0.4818272707252694;0.7035
01-02-2022 16:00;0.742756596543009;0.4457127850845677;0.724192308
01-02-2022 17:00;0.7494137728576291;0.4467185614750836;0.756961538
01-02-2022 18:00;0.7428842195082545;0.4775494125906083;0.778615385
01-02-2022 19:00;0.7320396034212152;0.4601120952675367;0.784692308
01-02-2022 20:00;0.7262437806908212;0.4715395678097793;0.774576923
01-02-2022 21:00;0.7342534178250558;0.4787123415421422;0.7615
01-02-2022 22:00;0.7033470666643585;0.4767595141918068;0.744807692
01-02-2022 23:00;0.7061000892233744;0.4635223058416296;0.712769231
26-04-2022 00:00;0.0531933961719782;0.0734084426077813;0.298269231
26-04-2022 01:00;0.0508393362559939;0.0919392109080419;0.286692308
26-04-2022 02:00;0.0491128423234718;0.0938457196088141;0.274692308
26-04-2022 03:00;0.0503972315508854;0.0896207970736539;0.270115385
26-04-2022 04:00;0.0538591453598075;0.0881642409686387;0.264423077
26-04-2022 05:00;0.0551201828754594;0.0975859505610449;0.257730769
26-04-2022 06:00;0.0513111490268377;0.1100580740746867;0.250153846
26-04-2022 07:00;0.0417096734871697;0.1136866439967204;0.241384615
26-04-2022 08:00;0.0355335063704191;0.1034758631242549;0.225192308
26-04-2022 09:00;0.0357595852014702;0.1156485696532201;0.195192308
26-04-2022 10:00;0.0402899525247978;0.1333282327677564;0.171461538
26-04-2022 11:00;0.0446770990213559;0.1203829973335759;0.153384615
26-04-2022 12:00;0.0497350437245024;0.1203705905524429;0.141769231
26-04-2022 13:00;0.0594247869314083;0.1210000279152575;0.133769231
26-04-2022 14:00;0.074703117696955;0.115454196748803;0.136884615
26-04-2022 15:00;0.0834802056825985;0.1212622245565351;0.166846154
26-04-2022 16:00;0.0810330094027155;0.1297583882764189;0.201538462
26-04-2022 17:00;0.0830619936555472;0.1412321794682247;0.221
26-04-2022 18:00;0.0815364687018539;0.1294779950228129;0.198423077
26-04-2022 19:00;0.089069559610158;0.1189620073344754;0.175
26-04-2022 20:00;0.0967130076427718;0.1183474581090204;0.153576923
26-04-2022 21:00;0.095070769210795;0.1165162172137885;0.1305
26-04-2022 22:00;0.0906208255434186;0.1073500873127222;0.108653846
26-04-2022 23:00;0.0818486964154852;0.0958688520522366;0.086423077
18-05-2022 00:00;0.1779700221724052;0.1418798134433677;0.177461538
18-05-2022 01:00;0.1949995960784992;0.197473772581634;0.171692308
18-05-2022 02:00;0.2074387103219254;0.197106531860097;0.164884615
18-05-2022 03:00;0.2162605632685327;0.1762523870129951;0.159307692
18-05-2022 04:00;0.220403598724185;0.1329816700147744;0.155615385
18-05-2022 05:00;0.2041078005175965;0.1025346019956307;0.149692308
18-05-2022 06:00;0.1569658336507002;0.0783091211553194;0.136
18-05-2022 07:00;0.0995896410003404;0.0421011710967491;0.126384615
18-05-2022 08:00;0.0714220218723492;0.0204323142885796;0.114923077
18-05-2022 09:00;0.0665562554457273;0.0156110391402927;0.0925
18-05-2022 10:00;0.0681930391342231;0.007267892387716;0.075346154
18-05-2022 11:00;0.0711360310240564;0.0069097499723432;0.061884615
18-05-2022 12:00;0.0703882803619136;0.0079204890753122;0.047
18-05-2022 13:00;0.0642827544272681;0.0105896012563933;0.035923077
18-05-2022 14:00;0.0606924963647065;0.0124985913133921;0.029653846
18-05-2022 15:00;0.057235090608248;0.0127988354168109;0.029576923
18-05-2022 16:00;0.0554815483609442;0.0093762180615851;0.0315
18-05-2022 17:00;0.0578240676626216;0.0115664284909321;0.029192308
18-05-2022 18:00;0.0678319892124107;0.0203545651268128;0.021846154
18-05-2022 19:00;0.0974079690105654;0.0353634618227836;0.021115385
18-05-2022 20:00;0.1555874064488953;0.0647021907273785;0.023884615
18-05-2022 21:00;0.2112474736873993;0.1035651919484126;0.031
18-05-2022 22:00;0.2318152376501001;0.1702020134137982;0.043653846
18-05-2022 23:00;0.2360360820912747;0.2510090331705633;0.069884615
18-08-2022 00:00;0.0881571297915188;0.0277895355004533;0.041230769
18-08-2022 01:00;0.0817058813134373;0.0252560707930931;0.035692308
18-08-2022 02:00;0.0724467021973329;0.0199029582935713;0.033
18-08-2022 03:00;0.0701917292744992;0.0131222388450113;0.035192308
18-08-2022 04:00;0.066806452357459;0.0129129778032346;0.038730769
18-08-2022 05:00;0.0688858817173588;0.0083224687840217;0.040807692
18-08-2022 06:00;0.0636798925713065;0.0054672548859454;0.037269231
18-08-2022 07:00;0.0406109709407331;0.0041612343920108;0.035769231
18-08-2022 08:00;0.0318647631144655;0.0030595122273997;0.037153846
18-08-2022 09:00;0.0259508744900491;0.0021802850044405;0.037730769
18-08-2022 10:00;0.0255416785679251;0.0030537223962043;0.039653846
18-08-2022 11:00;0.0311836865482599;0.0035508207602668;0.041076923
18-08-2022 12:00;0.0389007961581295;0.0080553094302909;0.038384615
18-08-2022 13:00;0.0433636328555519;0.011326564055694;0.035846154
18-08-2022 14:00;0.0526494545617163;0.0232503078432568;0.036846154
18-08-2022 15:00;0.0678376693585149;0.0209732499459788;0.046153846
18-08-2022 16:00;0.0744059919590769;0.0235034061783702;0.060230769
18-08-2022 17:00;0.0973301600250431;0.0220873788917229;0.068
18-08-2022 18:00;0.117637583957969;0.0165837307811206;0.057269231
18-08-2022 19:00;0.117248358708259;0.0169972901522208;0.052115385
18-08-2022 20:00;0.1193183211579852;0.018260300471561;0.050730769
18-08-2022 21:00;0.1144249203697612;0.0236299553459269;0.050884615
18-08-2022 22:00;0.0955597125810007;0.0517536468182292;0.052307692
18-08-2022 23:00;0.0788484071788391;0.0499257143979661;0.048615385
28-09-2022 00:00;0.1508622912591387;0.1048381276926592;0.0895
28-09-2022 01:00;0.1344695248440574;0.1085072264330607;0.0805
28-09-2022 02:00;0.122987154574988;0.1241017231985095;0.073153846
28-09-2022 03:00;0.1090112452467094;0.0973981946065654;0.0645
28-09-2022 04:00;0.1066446980254009;0.0740279545456895;0.059153846
28-09-2022 05:00;0.1069016119353033;0.066621933328026;0.055230769
28-09-2022 06:00;0.1004555026370303;0.0925851906457005;0.050269231
28-09-2022 07:00;0.0807506249963935;0.1026619782819296;0.046807692
28-09-2022 08:00;0.064934663894034;0.084510857484339;0.041923077
28-09-2022 09:00;0.0571477245515028;0.0646112076657365;0.033038462
28-09-2022 10:00;0.0552611947565218;0.0779766194209548;0.027115385
28-09-2022 11:00;0.0572827858033133;0.0942261942302264;0.022730769
28-09-2022 12:00;0.0583456944131886;0.0930343161227154;0.019961538
28-09-2022 13:00;0.0566424620313789;0.1153044882564647;0.017269231
28-09-2022 14:00;0.0534038771415052;0.0981459099495147;0.016538462
28-09-2022 15:00;0.0477858520002769;0.0924156313035494;0.017307692
28-09-2022 16:00;0.040821722393408;0.0929557398422064;0.018538462
28-09-2022 17:00;0.0311690353777531;0.0568974982759743;0.0175
28-09-2022 18:00;0.0283625923970432;0.0336885463698275;0.012884615
28-09-2022 19:00;0.0386988354077587;0.0295562611337936;0.010653846
28-09-2022 20:00;0.0507802356881956;0.0258259556064693;0.009653846
28-09-2022 21:00;0.058425847585992;0.0251700504439042;0.009384615
28-09-2022 22:00;0.064745010126889;0.0275959897147784;0.01
28-09-2022 23:00;0.0682931629794404;0.0309061189210649;0.010653846
16-10-2022 00:00;0.3020317161326247;0.2893228275467762;0.551
16-10-2022 01:00;0.2899436890150663;0.2927834923641432;0.532
16-10-2022 02:00;0.2827285510470222;0.2968644962381606;0.517653846
16-10-2022 03:00;0.2803090792897906;0.2503547822454827;0.510153846
16-10-2022 04:00;0.2873076504174817;0.282891979326167;0.502615385
16-10-2022 05:00;0.3010588333304481;0.2781137143524746;0.497923077
16-10-2022 06:00;0.3091913599748414;0.2948653502382619;0.502192308
16-10-2022 07:00;0.3103004310419443;0.2349571397406776;0.503807692
16-10-2022 08:00;0.292438264926342;0.1869296628560617;0.494576923
16-10-2022 09:00;0.2776642950704266;0.1003063441041425;0.463846154
16-10-2022 10:00;0.286834214747751;0.0476122632760312;0.434730769
16-10-2022 11:00;0.2833854644520228;0.0365487229803569;0.404307692
16-10-2022 12:00;0.2299468302260229;0.0352608990987507;0.364346154
16-10-2022 13:00;0.2222609163392017;0.0354635431905898;0.329846154
16-10-2022 14:00;0.215483194701704;0.025433074203924;0.286653846
