A;B;C
43.53428519818616;43.53428519818616;43.53428519818616
43.53428519818616;43.53428519818616;43.53428519818616
43.53428519818616;43.53428519818616;43.53428519818616
43.53428519818616;43.53428519818616;43.53428519818616
43.53428519818616;43.53428519818616;43.53428519818616
43.53428519818616;43.53428519818616;43.53428519818616
43.53428519818616;43.53428519818616;43.53428519818616
43.53428519818616;43.53428519818616;43.53428519818616
43.53428519818616;43.53428519818616;43.53428519818616
43.53428519818616;43.53428519818616;43.53428519818616
43.53428519818616;43.53428519818616;43.53428519818616
43.53428519818616;43.53428519818616;43.53428519818616
43.53428519818616;43.53428519818616;43.53428519818616
43.53428519818616;43.53428519818616;43.53428519818616
43.53428519818616;43.53428519818616;43.53428519818616
43.53428519818616;43.53428519818616;43.53428519818616
43.53428519818616;43.53428519818616;43.53428519818616
43.53428519818616;43.53428519818616;43.53428519818616
43.53428519818616;43.53428519818616;43.53428519818616
43.53428519818616;43.53428519818616;43.53428519818616
43.53428519818616;43.53428519818616;43.53428519818616
43.53428519818616;43.53428519818616;43.53428519818616
43.53428519818616;43.53428519818616;43.53428519818616
43.53428519818616;43.53428519818616;43.53428519818616
46.39698671729721;46.39698671729721;46.39698671729721
46.39698671729721;46.39698671729721;46.39698671729721
46.39698671729721;46.39698671729721;46.39698671729721
46.39698671729721;46.39698671729721;46.39698671729721
46.39698671729721;46.39698671729721;46.39698671729721
46.39698671729721;46.39698671729721;46.39698671729721
46.39698671729721;46.39698671729721;46.39698671729721
46.39698671729721;46.39698671729721;46.39698671729721
46.39698671729721;46.39698671729721;46.39698671729721
46.39698671729721;46.39698671729721;46.39698671729721
46.39698671729721;46.39698671729721;46.39698671729721
46.39698671729721;46.39698671729721;46.39698671729721
46.39698671729721;46.39698671729721;46.39698671729721
46.39698671729721;46.39698671729721;46.39698671729721
46.39698671729721;46.39698671729721;46.39698671729721
46.39698671729721;46.39698671729721;46.39698671729721
46.39698671729721;46.39698671729721;46.39698671729721
46.39698671729721;46.39698671729721;46.39698671729721
46.39698671729721;46.39698671729721;46.39698671729721
46.39698671729721;46.39698671729721;46.39698671729721
46.39698671729721;46.39698671729721;46.39698671729721
46.39698671729721;46.39698671729721;46.39698671729721
46.39698671729721;46.39698671729721;46.39698671729721
46.39698671729721;46.39698671729721;46.39698671729721
97.11387796395856;97.11387796395856;97.11387796395856
97.11387796395856;97.11387796395856;97.11387796395856
97.11387796395856;97.11387796395856;97.11387796395856
97.11387796395856;97.11387796395856;97.11387796395856
97.11387796395856;97.11387796395856;97.11387796395856
97.11387796395856;97.11387796395856;97.11387796395856
97.11387796395856;97.11387796395856;97.11387796395856
97.11387796395856;97.11387796395856;97.11387796395856
97.11387796395856;97.11387796395856;97.11387796395856
97.11387796395856;97.11387796395856;97.11387796395856
97.11387796395856;97.11387796395856;97.11387796395856
97.11387796395856;97.11387796395856;97.11387796395856
97.11387796395856;97.11387796395856;97.11387796395856
97.11387796395856;97.11387796395856;97.11387796395856
97.11387796395856;97.11387796395856;97.11387796395856
97.11387796395856;97.11387796395856;97.11387796395856
97.11387796395856;97.11387796395856;97.11387796395856
97.11387796395856;97.11387796395856;97.11387796395856
