periods,weights,selected_periods
32,43.534285198186154,true
116,46.39698671729721,true
138,97.11387796395857,true
230,40.25148227827839,true
271,36.60237753673532,true
289,25.924312063231188,true
338,40.75273189647754,true
361,34.42394634583566,true
