Design;Contract;Exporter;Importer;Timestep;Weight_h;Strike_K_EUR_per_MWh;Capacity_MW;CB_Flow_MW;P_Exporter_EUR_per_MWh;P_Importer_EUR_per_MWh;Category;Category_Label;HedgeRequirement_EUR_per_h;RO_Repayment_EUR_per_h;HedgeShortfall_EUR_per_h;ShortfallType;CR_Corridor_EUR_per_h;CR_Alloc_EUR_per_h;FTRlike_Omega_EUR_per_h;OmegaType;Shortfall_Exists;Shortfall_Hedged;Shortfall_Covered_EUR_per_h;Shortfall_Uncovered_EUR_per_h;Shortfall_Coverage_Ratio;Weighted_Delta_EUR;Weighted_CR_Corridor_EUR;Weighted_CR_Alloc_EUR;Weighted_Omega_EUR;Weighted_Covered_EUR;Weighted_Uncovered_EUR
FBMC;A→B;A;B;16;416.0;150.0;4812.730342381761;-2802.2567049987147;79.87593441062182;79.86868555399683;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;20.313157080973042;-34.88679222669956;-34.88679222669956;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;8450.273345684785;-14512.905566307018;-14512.905566307018;0.0;0.0
FBMC;A→B;A;B;17;416.0;150.0;4812.730342381761;-2419.697840271876;107.86057837421768;107.8524911030094;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;19.568752676373443;-38.9218555311703;-38.9218555311703;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;8140.601113371352;-16191.491900966845;-16191.491900966845;0.0;0.0
FBMC;A→B;A;B;18;2.0;150.0;4812.730342381761;-555.4254379840422;587.1917461865918;948.3906628916952;2;Cat 2 — Scarcity in both zones;3.8424389683731496e6;2.104085982311076e6;1.7383529860620736e6;Under-compensated;-200619.06651029366;1.7383529860620736e6;0.0;Exactly funded;true;true;1.7383529860620736e6;0.0;1.0;3.476705972124147e6;-401238.1330205873;3.476705972124147e6;0.0;3.476705972124147e6;0.0
FBMC;A→B;A;B;19;2.0;150.0;4812.730342381761;1088.6888432882974;628.3007151089826;577.8688228148118;2;Cat 2 — Scarcity in both zones;2.0592172661200103e6;2.301932364387895e6;-242715.0982678847;Over-compensated;-54904.638486580785;-242715.09826788463;5.820766091346741e-11;Exactly funded;false;false;0.0;0.0;NaN;-485430.1965357694;-109809.27697316157;-485430.19653576927;1.1641532182693481e-10;0.0;0.0
FBMC;A→B;A;B;20;416.0;150.0;4812.730342381761;-2038.8467300500085;125.85234802035112;125.84426080222528;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;16.48859823106418;-38.921600059676095;-38.921600059676095;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;6859.256864122699;-16191.385624825256;-16191.385624825256;0.0;0.0
FBMC;A→B;A;B;21;416.0;150.0;4812.730342381761;-2061.181907237117;98.0874752840987;98.080317366229;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;14.753770806525168;-34.44912851980582;-34.44912851980582;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;6137.568655514469;-14330.837464239221;-14330.837464239221;0.0;0.0
FBMC;A→B;A;B;22;416.0;150.0;4812.730342381761;-1928.2927969673735;80.23424975991477;80.22700134832945;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;13.977059849432925;-34.88465037075479;-34.88465037075479;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;5814.456897364096;-14512.014554233992;-14512.014554233992;0.0;0.0
FBMC;A→B;A;B;23;420.0;150.0;4812.730342381761;-1747.9483563845545;72.73778201685201;72.73284918170302;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;8.622341090996349;-23.740405395520565;-23.740405395520565;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;3621.3832582184664;-9970.970266118637;-9970.970266118637;0.0;0.0
FBMC;A→B;A;B;24;420.0;150.0;4812.730342381761;-1530.1830297369725;69.38594977173456;69.38144093527237;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;6.89934503830739;-21.69981405043466;-21.69981405043466;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;2897.7249160891038;-9113.921901182557;-9113.921901182557;0.0;0.0
NTC;A→B;A;B;1;420.0;150.0;3442.6672225080833;-157.73221907372286;86.7007464044666;86.6796163175674;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;3.3328954958322803;-72.74385757664217;-72.74385757664217;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;1399.8161082495578;-30552.42018218971;-30552.42018218971;0.0;0.0
NTC;A→B;A;B;2;419.0;150.0;3442.6672225080833;-327.59245664804365;75.15966797931979;75.1385691171627;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;6.9118280865192645;-72.63636118042689;-72.63636118042689;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;2896.055968251572;-30434.635334598865;-30434.635334598865;0.0;0.0
NTC;A→B;A;B;3;419.0;150.0;3442.6672225080833;-453.58987476691425;72.09299979746568;72.08879407418691;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;1.9076734953227896;-14.478905678769884;-14.478905678769884;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;799.3151945402489;-6066.661479404582;-6066.661479404582;0.0;0.0
NTC;A→B;A;B;4;416.0;150.0;3442.6672225080833;-548.0159889182061;70.50485918409031;70.49938836914318;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;2.9980940634404845;-18.8341952988951;-18.8341952988951;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;1247.2071303912414;-7835.0252443403615;-7835.0252443403615;0.0;0.0
NTC;A→B;A;B;5;416.0;150.0;3442.6672225080833;-784.2025693840112;70.20010444277034;70.1924302084425;0;No scarcity;0.0;0.0;0.0;Perfectly hedged;6.018154277944654;-26.419834978290346;-26.419834978290346;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;0.0;2503.552179624976;-10990.651350968785;-10990.651350968785;0.0;0.0
