Design;Contract;Exporter;Importer;Capacity_MW;Strike_K_EUR_per_MWh;Cat1_Hours_Weighted;Cat2_Hours_Weighted;Cat3_Hours_Weighted;Total_Scarcity_Hours_Weighted;Annual_HedgeRequirement_MEUR;Annual_RO_Repayment_MEUR;Annual_HedgeShortfall_MEUR;Annual_CR_Corridor_MEUR;Annual_CR_Alloc_MEUR;Annual_FTRlike_Omega_MEUR;Coverage_Ratio_CRalloc_over_Delta;RevenueAdequacy_CRcorr_over_CRalloc;Shortfall_Hours_Weighted;Hedged_Shortfall_Hours_Weighted;Shortfall_Hour_Coverage_pct;Annual_Shortfall_Covered_MEUR;Annual_Shortfall_Uncovered_MEUR;Annual_EUR_Coverage_Ratio;Settlement_Outcome;FTRlike_Outcome;Hedge_Outcome
FBMC;A→B;A;B;4812.730342381761;150.0;0.0;6.0;0.0;6.0;14.833251104426989;12.086505283483607;2.746745820943381;-0.3255833716865586;2.474402384376275;-0.27234343656710575;0.9008486935738492;-0.13158060861173504;2.0;2.0;100.0;3.4767059721241473;0.0;1.0;Net under-compensation by RO alone;FTR-like deficit (rent < shortfall);Fully hedged by FTR-like rent
NTC;A→B;A;B;3442.6672225080833;150.0;0.0;6.0;0.0;6.0;7.0729726035597045;7.691965801159723;-0.6189931976000187;0.27172747239269146;-1.1849431272337714;-0.5659499296337527;1.914307187587962;-0.22931688968654082;0.0;0.0;NaN;0.0;0.0;NaN;Net over-compensation by RO alone;FTR-like deficit (rent < shortfall);No shortfall
