Design;Contract;Exporter;Importer;Timestep;Weight_h;Strike_K_EUR_per_MWh;Capacity_MW;P_Exporter_EUR_per_MWh;P_Importer_EUR_per_MWh;Category;Category_Label;HedgeRequirement_EUR_per_h;RO_Repayment_EUR_per_h;HedgeShortfall_EUR_per_h;ShortfallType;CR_Alloc_EUR_per_h;FTRlike_Omega_EUR_per_h;OmegaType;Shortfall_Exists;Shortfall_Hedged;Shortfall_Covered_EUR_per_h;Shortfall_Uncovered_EUR_per_h;Shortfall_Coverage_Ratio;Weighted_Delta_EUR;Weighted_CR_Alloc_EUR;Weighted_Omega_EUR;Weighted_Covered_EUR;Weighted_Uncovered_EUR
FBMC;A→B;A;B;7;43.53428519818616;320.0;5630.772836562952;342.38879341695247;120.49353371413214;3;Cat 3 — Scarcity in exporting zone only;0.0;126066.20981559539;-126066.20981559539;Over-compensated;-1.2494418008967226e6;-1.1233755910811273e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-5.488202331966505e6;-5.439355569877325e7;-4.890535336680675e7;0.0;0.0
FBMC;A→B;A;B;8;43.53428519818616;320.0;5630.772836562952;455.7756921861856;155.38835225111575;3;Cat 3 — Scarcity in exporting zone only;0.0;764522.0794275065;-764522.0794275065;Over-compensated;-1.691412874153793e6;-926890.7947262865;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-3.3282922246107403e7;-7.363445045129499e7;-4.035152820518758e7;0.0;0.0
FBMC;A→B;A;B;9;43.53428519818616;320.0;5630.772836562952;787.8607820855106;384.776040058711;2;Cat 2 — Scarcity in both zones;364739.1668227034;2.634417783060191e6;-2.2696786162374876e6;Over-compensated;-2.269678616237488e6;-4.656612873077393e-10;Exactly funded;false;false;0.0;0.0;NaN;-9.88088361875073e7;-9.880883618750733e7;-2.0272231287409627e-8;0.0;0.0
FBMC;A→B;A;B;10;43.53428519818616;320.0;5630.772836562952;1060.2009694560754;370.90761034662825;2;Cat 2 — Scarcity in both zones;286649.1895141254;4.1679035124108326e6;-3.8812543228967073e6;Over-compensated;-3.881254322896708e6;-4.656612873077393e-10;Exactly funded;false;false;0.0;0.0;NaN;-1.6896763261967817e8;-1.689676326196782e8;-2.0272231287409627e-8;0.0;0.0
FBMC;A→B;A;B;11;43.53428519818616;320.0;5630.772836562952;773.1317569593015;151.95153854986094;3;Cat 3 — Scarcity in exporting zone only;0.0;2.55148198847048e6;-2.55148198847048e6;Over-compensated;-3.4977247004301194e6;-946242.7119596396;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-1.11076944564109e8;-1.5227094465326506e8;-4.119400008915607e7;0.0;0.0
FBMC;A→B;A;B;12;43.53428519818616;320.0;5630.772836562952;1005.4369102560107;137.1239100313026;3;Cat 3 — Scarcity in exporting zone only;0.0;3.859539535447183e6;-3.859539535447183e6;Over-compensated;-4.8892732552997675e6;-1.0297337198525844e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-1.680222948698326e8;-2.1285101630808413e8;-4.482872143825154e7;0.0;0.0
FBMC;A→B;A;B;13;43.53428519818616;320.0;5630.772836562952;600.2753258461962;116.03331039064939;3;Cat 3 — Scarcity in exporting zone only;0.0;1.5781666915335918e6;-1.5781666915335918e6;Over-compensated;-2.7266567869495903e6;-1.1484900954159985e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-6.870435883950128e7;-1.1870305420063339e8;-4.9998695361132115e7;0.0;0.0
FBMC;A→B;A;B;14;43.53428519818616;320.0;5630.772836562952;550.7757774470186;111.51778432447685;3;Cat 3 — Scarcity in exporting zone only;0.0;1.2994459789853697e6;-1.2994459789853697e6;Over-compensated;-2.4733619759175642e6;-1.1739159969321946e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-5.65704518487853e7;-1.076760456579445e8;-5.110559380915919e7;0.0;0.0
FBMC;A→B;A;B;15;43.53428519818616;320.0;5630.772836562952;538.2601274493695;105.08895657726266;3;Cat 3 — Scarcity in exporting zone only;0.0;1.2289731969466778e6;-1.2289731969466778e6;Over-compensated;-2.4390884625288285e6;-1.2101152655821508e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-5.350246965680328e7;-1.0618397275133543e8;-5.268150309453214e7;0.0;0.0
FBMC;A→B;A;B;16;43.53428519818616;320.0;5630.772836562952;503.09340152468116;103.83925313747717;3;Cat 3 — Scarcity in exporting zone only;0.0;1.0309573518590884e6;-1.0309573518590884e6;Over-compensated;-2.2481094136237423e6;-1.2171520617646538e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-4.4881991383000314e7;-9.786983636942306e7;-5.298784498642273e7;0.0;0.0
