Design;SumDelta_MEUR;SumCRAlloc_MEUR;SumOmega_MEUR;Annual_CR_Total_MEUR;RevAdequacy_CRtotal_minus_CRalloc_MEUR
FBMC;8.502402538526995;8.502402538526997;1.7171259969472886e-15;6.2856382283548795;-2.2167643101721177
NTC;-1.3031898299944848;-1.3031898299944844;1.8559376258053815e-16;-0.2481669489469605;1.055022881047524
