Design;SumDelta_MEUR;SumCRAlloc_MEUR;SumOmega_MEUR;Annual_CR_Total_MEUR;RevAdequacy_CRtotal_minus_CRalloc_MEUR
FBMC;-2445.564977444475;-9281.44381241142;-6835.878834966941;10455.76100844634;19737.20482085776
NTC;-1525.0365853381738;-5884.831850274446;-4359.795264936272;10870.158909476906;16754.990759751352
