Design;Contract;Exporter;Importer;Capacity_MW;Strike_K_EUR_per_MWh;Cat1_Hours_Weighted;Cat2_Hours_Weighted;Cat3_Hours_Weighted;Total_Scarcity_Hours_Weighted;Total_RentFlow_Hours_Weighted;Annual_HedgeRequirement_MEUR;Annual_RO_Repayment_MEUR;Annual_HedgeShortfall_MEUR;Annual_CR_Alloc_MEUR;Annual_FTRlike_Omega_MEUR;Coverage_Ratio_CRalloc_over_Δ;Shortfall_Hours_Weighted;Hedged_Shortfall_Hours_Weighted;Shortfall_Hour_Coverage_pct;Annual_Shortfall_Covered_MEUR;Annual_Shortfall_Uncovered_MEUR;Annual_EUR_Coverage_Ratio;Settlement_Outcome;FTRlike_Outcome;Hedge_Outcome
FBMC;A→B;A;B;5630.772836562952;320.0;0.0;160.27332546984297;2760.06899245593;2920.3423179257734;2920.342317925774;31.336288744001823;1249.368264109496;-1218.031975365494;-4579.134202773961;-3361.1022274084635;3.7594531961280437;0.0;0.0;NaN;0.0;0.0;NaN;Net over-compensation by RO alone;FTR-like deficit (rent < shortfall);No shortfall
FBMC;A→C;A;C;5630.772836562952;320.0;0.0;196.8757030065783;2723.466614919195;2920.3423179257734;2920.342317925774;21.835262030514702;1249.368264109496;-1227.533002078981;-4702.30960963746;-3474.7766075584773;3.830699135317347;0.0;0.0;NaN;0.0;0.0;NaN;Net over-compensation by RO alone;FTR-like deficit (rent < shortfall);No shortfall
NTC;A→B;A;B;3443.0999429123794;320.0;0.0;0.0;2920.3423179257734;2920.3423179257734;2920.342317925774;0.0;762.5182926690869;-762.5182926690869;-2916.1662580579127;-2153.6479653888264;3.824388589879316;0.0;0.0;NaN;0.0;0.0;NaN;Net over-compensation by RO alone;FTR-like deficit (rent < shortfall);No shortfall
NTC;A→C;A;C;3443.0999429123794;320.0;0.0;0.0;2920.3423179257734;2920.3423179257734;2920.342317925774;0.0;762.5182926690869;-762.5182926690869;-2968.6655922165337;-2206.147299547446;3.8932385239246416;0.0;0.0;NaN;0.0;0.0;NaN;Net over-compensation by RO alone;FTR-like deficit (rent < shortfall);No shortfall
