Design;Contract;Exporter;Importer;Timestep;Weight_h;Strike_K_EUR_per_MWh;Capacity_MW;P_Exporter_EUR_per_MWh;P_Importer_EUR_per_MWh;Category;Category_Label;HedgeRequirement_EUR_per_h;RO_Repayment_EUR_per_h;HedgeShortfall_EUR_per_h;ShortfallType;CR_Alloc_EUR_per_h;FTRlike_Omega_EUR_per_h;OmegaType;Shortfall_Exists;Shortfall_Hedged;Shortfall_Covered_EUR_per_h;Shortfall_Uncovered_EUR_per_h;Shortfall_Coverage_Ratio;Weighted_Delta_EUR;Weighted_CR_Alloc_EUR;Weighted_Omega_EUR;Weighted_Covered_EUR;Weighted_Uncovered_EUR
FBMC;A→B;A;B;12;2.0;150.0;4812.730342381761;490.1882462902723;464.7837526609885;2;Cat 2 — Scarcity in both zones;1.5149693177203347e6;1.637234295042833e6;-122264.97732249834;Over-compensated;-122264.97732249812;2.1827872842550278e-10;Exactly funded;false;false;0.0;0.0;NaN;-244529.95464499667;-244529.95464499624;4.3655745685100555e-10;0.0;0.0
FBMC;A→B;A;B;18;2.0;150.0;4812.730342381761;587.1917461865918;948.3906628916952;2;Cat 2 — Scarcity in both zones;3.8424389683731496e6;2.104085982311076e6;1.7383529860620736e6;Under-compensated;1.7383529860620736e6;0.0;Exactly funded;true;true;1.7383529860620736e6;0.0;1.0;3.476705972124147e6;3.476705972124147e6;0.0;3.476705972124147e6;0.0
FBMC;A→B;A;B;19;2.0;150.0;4812.730342381761;628.3007151089826;577.8688228148118;2;Cat 2 — Scarcity in both zones;2.0592172661200103e6;2.301932364387895e6;-242715.0982678847;Over-compensated;-242715.09826788463;5.820766091346741e-11;Exactly funded;false;false;0.0;0.0;NaN;-485430.1965357694;-485430.19653576927;1.1641532182693481e-10;0.0;0.0
FBMC;A→C;A;C;12;2.0;150.0;4812.730342381761;490.1882462902723;446.5491796222491;2;Cat 2 — Scarcity in both zones;1.4272112347764173e6;1.637234295042833e6;-210023.06026641582;Over-compensated;-210023.06026641576;5.820766091346741e-11;Exactly funded;false;false;0.0;0.0;NaN;-420046.12053283164;-420046.1205328315;1.1641532182693481e-10;0.0;0.0
FBMC;A→C;A;C;18;2.0;150.0;4812.730342381761;587.1917461865918;1310.2837008883948;2;Cat 2 — Scarcity in both zones;5.584132573036581e6;2.104085982311076e6;3.4800465907255053e6;Under-compensated;3.4800465907255057e6;4.656612873077393e-10;Exactly funded;true;true;3.4800465907255053e6;0.0;1.0;6.9600931814510105e6;6.960093181451011e6;9.313225746154785e-10;6.9600931814510105e6;0.0
FBMC;A→C;A;C;19;2.0;150.0;4812.730342381761;628.3007151089826;546.8095149447969;2;Cat 2 — Scarcity in both zones;1.909737192720613e6;2.301932364387895e6;-392195.171667282;Over-compensated;-392195.17166728195;5.820766091346741e-11;Exactly funded;false;false;0.0;0.0;NaN;-784390.343334564;-784390.3433345639;1.1641532182693481e-10;0.0;0.0
NTC;A→B;A;B;12;2.0;150.0;3442.6672225080833;450.68263127414326;450.6593192295479;2;Cat 2 — Scarcity in both zones;1.0350699834531589e6;1.0351502390649769e6;-80.25561181805097;Over-compensated;-80.25561181803474;1.6228796084760688e-11;Exactly funded;false;false;0.0;0.0;NaN;-160.51122363610193;-160.51122363606947;3.2457592169521376e-11;0.0;0.0
NTC;A→B;A;B;18;2.0;150.0;3442.6672225080833;541.580545359035;503.3858637111568;2;Cat 2 — Scarcity in both zones;1.216589929896108e6;1.3480815084793896e6;-131491.5785832815;Over-compensated;-131491.57858328134;1.4551915228366852e-10;Exactly funded;false;false;0.0;0.0;NaN;-262983.157166563;-262983.1571665627;2.9103830456733704e-10;0.0;0.0
NTC;A→B;A;B;19;2.0;150.0;3442.6672225080833;574.8889185315559;523.2066753447496;2;Cat 2 — Scarcity in both zones;1.284826388430585e6;1.4627511530354947e6;-177924.7646049098;Over-compensated;-177924.7646049098;0.0;Exactly funded;false;false;0.0;0.0;NaN;-355849.5292098196;-355849.5292098196;0.0;0.0;0.0
NTC;A→C;A;C;12;2.0;150.0;3442.6672225080833;450.68263127414326;450.6586884808395;2;Cat 2 — Scarcity in both zones;1.0350678119952547e6;1.0351502390649769e6;-82.42706972220913;Over-compensated;-82.42706972219077;1.836042429204099e-11;Exactly funded;false;false;0.0;0.0;NaN;-164.85413944441825;-164.85413944438153;3.672084858408198e-11;0.0;0.0
NTC;A→C;A;C;18;2.0;150.0;3442.6672225080833;541.580545359035;498.2966575549939;2;Cat 2 — Scarcity in both zones;1.1990694866737e6;1.3480815084793896e6;-149012.02180568967;Over-compensated;-149012.02180568973;-5.820766091346741e-11;Exactly funded;false;false;0.0;0.0;NaN;-298024.04361137934;-298024.04361137946;-1.1641532182693481e-10;0.0;0.0
NTC;A→C;A;C;19;2.0;150.0;3442.6672225080833;574.8889185315559;518.8266113588015;2;Cat 2 — Scarcity in both zones;1.2697472857136736e6;1.4627511530354947e6;-193003.86732182116;Over-compensated;-193003.8673218212;-2.9103830456733704e-11;Exactly funded;false;false;0.0;0.0;NaN;-386007.7346436423;-386007.7346436424;-5.820766091346741e-11;0.0;0.0
