Design;Contract;Exporter;Importer;Capacity_MW;Strike_K_EUR_per_MWh;Cat1_Hours_Weighted;Cat2_Hours_Weighted;Cat3_Hours_Weighted;Total_Scarcity_Hours_Weighted;Total_RentFlow_Hours_Weighted;Annual_HedgeRequirement_MEUR;Annual_RO_Repayment_MEUR;Annual_HedgeShortfall_MEUR;Annual_CR_Alloc_MEUR;Annual_FTRlike_Omega_MEUR;Coverage_Ratio_CRalloc_over_Δ;Shortfall_Hours_Weighted;Hedged_Shortfall_Hours_Weighted;Shortfall_Hour_Coverage_pct;Annual_Shortfall_Covered_MEUR;Annual_Shortfall_Uncovered_MEUR;Annual_EUR_Coverage_Ratio;Settlement_Outcome;FTRlike_Outcome;Hedge_Outcome
FBMC;A→B;A;B;5630.772836562952;500.0;0.0;0.0;435.3428519818617;435.3428519818617;435.3428519818617;0.0;455.7611597129592;-455.7611597129592;-1257.556989514857;-801.7958298018978;2.759245632749559;0.0;0.0;NaN;0.0;0.0;NaN;Net over-compensation by RO alone;FTR-like deficit (rent < shortfall);No shortfall
FBMC;A→C;A;C;5630.772836562952;500.0;0.0;0.0;435.3428519818617;435.3428519818617;435.3428519818617;0.0;455.7611597129592;-455.7611597129592;-1274.1756540118722;-818.4144942989129;2.7957091710367656;0.0;0.0;NaN;0.0;0.0;NaN;Net over-compensation by RO alone;FTR-like deficit (rent < shortfall);No shortfall
NTC;A→B;A;B;3443.0999429123794;500.0;0.0;0.0;435.3428519818617;435.3428519818617;435.3428519818617;0.0;277.4332574280597;-277.4332574280597;-829.5726239969893;-552.1393665689294;2.990170074372223;0.0;0.0;NaN;0.0;0.0;NaN;Net over-compensation by RO alone;FTR-like deficit (rent < shortfall);No shortfall
NTC;A→C;A;C;3443.0999429123794;500.0;0.0;0.0;435.3428519818617;435.3428519818617;435.3428519818617;0.0;277.4332574280597;-277.4332574280597;-830.2118281629229;-552.7785707348631;2.992474066949967;0.0;0.0;NaN;0.0;0.0;NaN;Net over-compensation by RO alone;FTR-like deficit (rent < shortfall);No shortfall
