Design;SumDelta_MEUR;SumCRAlloc_MEUR;SumOmega_MEUR;Annual_CR_Total_MEUR;RevAdequacy_CRtotal_minus_CRalloc_MEUR
FBMC;-154.74568148734394;-772.4602871558461;-617.7146056685021;10455.76100844634;11228.221295602185
NTC;-95.46902743940825;-746.499613226451;-651.0305857870428;10870.158909476906;11616.658522703357
