Design;Contract;Exporter;Importer;Timestep;Weight_h;Strike_K_EUR_per_MWh;Capacity_MW;P_Exporter_EUR_per_MWh;P_Importer_EUR_per_MWh;Category;Category_Label;HedgeRequirement_EUR_per_h;RO_Repayment_EUR_per_h;HedgeShortfall_EUR_per_h;ShortfallType;CR_Alloc_EUR_per_h;FTRlike_Omega_EUR_per_h;OmegaType;Shortfall_Exists;Shortfall_Hedged;Shortfall_Covered_EUR_per_h;Shortfall_Uncovered_EUR_per_h;Shortfall_Coverage_Ratio;Weighted_Delta_EUR;Weighted_CR_Alloc_EUR;Weighted_Omega_EUR;Weighted_Covered_EUR;Weighted_Uncovered_EUR
FBMC;A→B;A;B;10;43.53428519818616;875.0;5630.772836562952;1060.2009694560754;370.90761034662825;3;Cat 3 — Scarcity in exporting zone only;0.0;1.0428245881183945e6;-1.0428245881183945e6;Over-compensated;-3.881254322896708e6;-2.8384297347783134e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-4.53986230308272e7;-1.689676326196782e8;-1.23569009588851e8;0.0;0.0
FBMC;A→B;A;B;12;43.53428519818616;875.0;5630.772836562952;1005.4369102560107;137.1239100313026;3;Cat 3 — Scarcity in exporting zone only;0.0;734460.6111547446;-734460.6111547446;Over-compensated;-4.8892732552997675e6;-4.154812644145023e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-3.1974217712844763e7;-2.1285101630808413e8;-1.8087679859523937e8;0.0;0.0
FBMC;A→C;A;C;10;43.53428519818616;875.0;5630.772836562952;1060.2009694560754;339.4216573114329;3;Cat 3 — Scarcity in exporting zone only;0.0;1.0428245881183945e6;-1.0428245881183945e6;Over-compensated;-4.058544571980582e6;-3.0157199838621877e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-4.53986230308272e7;-1.7668583688615304e8;-1.3128721385532585e8;0.0;0.0
FBMC;A→C;A;C;12;43.53428519818616;875.0;5630.772836562952;1005.4369102560107;132.61700551197347;3;Cat 3 — Scarcity in exporting zone only;0.0;734460.6111547446;-734460.6111547446;Over-compensated;-4.914650610844187e6;-4.180189999689443e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-3.1974217712844763e7;-2.139558013419307e8;-1.8198158362908593e8;0.0;0.0
NTC;A→B;A;B;10;43.53428519818616;875.0;3443.0999429123794;954.4944627490203;165.58444141739918;3;Cat 3 — Scarcity in exporting zone only;0.0;273707.380153002;-273707.380153002;Over-compensated;-2.7162960494099087e6;-2.442588669256907e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-1.1915655148429148e7;-1.1825200689771734e8;-1.063363517492882e8;0.0;0.0
NTC;A→B;A;B;11;43.53428519818616;875.0;3443.0999429123794;878.9686139294623;154.73056762493073;3;Cat 3 — Scarcity in exporting zone only;0.0;13664.334393972993;-13664.334393972993;Over-compensated;-2.493623975886106e6;-2.479959641492133e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-594867.0305506046;-1.0855813734326063e8;-1.0796327031271003e8;0.0;0.0
NTC;A→B;A;B;12;43.53428519818616;875.0;3443.0999429123794;1109.9944042963564;139.9028141914904;3;Cat 3 — Scarcity in exporting zone only;0.0;809109.2200175133;-809109.2200175133;Over-compensated;-3.3401222985098436e6;-2.5310130784923304e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-3.5223991540724374e7;-1.4540983674014863e8;-1.1018584519942425e8;0.0;0.0
NTC;A→C;A;C;10;43.53428519818616;875.0;3443.0999429123794;954.4944627490203;176.16451909266917;3;Cat 3 — Scarcity in exporting zone only;0.0;273707.380153002;-273707.380153002;Over-compensated;-2.679867784570178e6;-2.406160404417176e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-1.1915655148429148e7;-1.1666612842690945e8;-1.0475047327848029e8;0.0;0.0
NTC;A→C;A;C;11;43.53428519818616;875.0;3443.0999429123794;878.9686139294623;139.8133039480529;3;Cat 3 — Scarcity in exporting zone only;0.0;13664.334393972993;-13664.334393972993;Over-compensated;-2.544985605600373e6;-2.5313212712064e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-594867.0305506046;-1.1079412917948516e8;-1.1019926214893456e8;0.0;0.0
NTC;A→C;A;C;12;43.53428519818616;875.0;3443.0999429123794;1109.9944042963564;130.49918035078105;3;Cat 3 — Scarcity in exporting zone only;0.0;809109.2200175133;-809109.2200175133;Over-compensated;-3.372499949649959e6;-2.5633907296324456e6;Deficit (CR^alloc < Δ);false;false;0.0;0.0;NaN;-3.5223991540724374e7;-1.4681937463892978e8;-1.115953830982054e8;0.0;0.0
