Design;SumDelta_MEUR;SumCRAlloc_MEUR;SumOmega_MEUR;Annual_CR_Total_MEUR;RevAdequacy_CRtotal_minus_CRalloc_MEUR
FBMC;-911.5223194259185;-2531.732643526729;-1620.2103241008108;10455.76100844634;12987.493651973069
NTC;-554.8665148561194;-1659.7844521599122;-1104.9179373037925;10870.158909476906;12529.943361636819
