Design;Contract;Exporter;Importer;Capacity_MW;Strike_K_EUR_per_MWh;Cat1_Hours_Weighted;Cat2_Hours_Weighted;Cat3_Hours_Weighted;Total_Scarcity_Hours_Weighted;Total_RentFlow_Hours_Weighted;Annual_HedgeRequirement_MEUR;Annual_RO_Repayment_MEUR;Annual_HedgeShortfall_MEUR;Annual_CR_Alloc_MEUR;Annual_FTRlike_Omega_MEUR;Coverage_Ratio_CRalloc_over_Δ;Shortfall_Hours_Weighted;Hedged_Shortfall_Hours_Weighted;Shortfall_Hour_Coverage_pct;Annual_Shortfall_Covered_MEUR;Annual_Shortfall_Uncovered_MEUR;Annual_EUR_Coverage_Ratio;Settlement_Outcome;FTRlike_Outcome;Hedge_Outcome
FBMC;A→B;A;B;5630.772836562952;875.0;0.0;0.0;87.06857039637232;87.06857039637232;87.06857039637232;0.0;77.37284074367197;-77.37284074367197;-381.81864892776235;-304.44580818409037;4.934789071435119;0.0;0.0;NaN;0.0;0.0;NaN;Net over-compensation by RO alone;FTR-like deficit (rent < shortfall);No shortfall
FBMC;A→C;A;C;5630.772836562952;875.0;0.0;0.0;87.06857039637232;87.06857039637232;87.06857039637232;0.0;77.37284074367197;-77.37284074367197;-390.6416382280837;-313.2687974844118;5.048821194535665;0.0;0.0;NaN;0.0;0.0;NaN;Net over-compensation by RO alone;FTR-like deficit (rent < shortfall);No shortfall
NTC;A→B;A;B;3443.0999429123794;875.0;0.0;0.0;130.6028555945585;130.6028555945585;130.6028555945585;0.0;47.734513719704125;-47.734513719704125;-372.2199809811266;-324.4854672614225;7.797711801712133;0.0;0.0;NaN;0.0;0.0;NaN;Net over-compensation by RO alone;FTR-like deficit (rent < shortfall);No shortfall
NTC;A→C;A;C;3443.0999429123794;875.0;0.0;0.0;130.6028555945585;130.6028555945585;130.6028555945585;0.0;47.734513719704125;-47.734513719704125;-374.27963224532436;-326.54511852562024;7.840859853377475;0.0;0.0;NaN;0.0;0.0;NaN;Net over-compensation by RO alone;FTR-like deficit (rent < shortfall);No shortfall
