Timestep;Day;DayOfYear;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
38;2;116;331.0868937113775;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;8627.716231167136;12006.12127555782;12006.12127555782;38885.85609886425;39329.66255027347;39329.66255027347;5777.172753617812;11686.8210337932;11686.8210337932;814.1195809602937;0.0;13700.0;4919.134256552627;0.0;15403.0;-65023.99891092895;-62630.399999999994;-2393.5989109289553;0.0;17629.87;6000.000000000008;-3443.0999429123794
39;2;116;328.24947095244033;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;8539.046760597756;12006.12127555782;12006.12127555782;38531.17831984369;39329.66255027347;39329.66255027347;5706.237179853393;11686.8210337932;11686.8210337932;1023.4327124482834;0.0;13700.0;4442.535123742528;0.0;15403.0;-64242.43008637159;-61875.84;-2366.5900863715938;0.0;17629.87;6000.000000000014;-3443.0999429123794
40;2;116;327.2442738189664;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;8507.634345464283;12006.12127555782;12006.12127555782;38405.52871153349;39329.66255027347;39329.66255027347;5681.107249100646;11686.8210337932;11686.8210337932;1143.6788178515994;0.0;13700.0;3737.64864313978;0.0;15403.0;-63475.59775703569;-61136.64;-2338.9577570356914;0.0;17629.87;6000.000000000001;-3443.0999429123794
41;2;116;334.81327069674506;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;8744.165367909778;12006.12127555782;12006.12127555782;39329.66254959302;39329.66255027347;39329.66255027347;5870.332090932248;11686.8210337932;11686.8210337932;1110.1522288172023;0.0;13700.0;2711.474243172122;0.0;15403.0;-63765.786469898456;-61420.799999999996;-2344.9864698984597;0.0;17629.87;5999.999999999999;-3443.0999429123794
42;2;116;353.2481556735527;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;9320.25550992277;12006.12127555782;12006.12127555782;39329.662550273504;39329.66255027347;39329.66255027347;6331.204214305659;11686.8210337932;11686.8210337932;1137.9493130809967;0.0;13700.0;1476.4819154123045;0.0;15403.0;-63595.5534948242;-61268.159999999996;-2327.393494824199;0.0;17629.87;6000.000000000001;-3443.0999429123794
43;2;116;364.9707332341133;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;9686.58605870724;12006.12127555782;12006.12127555782;39329.662550273504;39329.66255027347;39329.66255027347;6624.2686533272745;11686.8210337932;11686.8210337932;1117.0496212153985;0.0;13700.0;475.8044490570966;0.0;15403.0;-63233.37132440891;-60926.399999999994;-2306.971324408911;0.0;17629.87;6000.000000000008;-3443.0999429123794
44;2;116;341.8034041965476;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;8962.607026362442;12006.12127555782;12006.12127555782;39329.66255027346;39329.66255027347;39329.66255027347;6045.08542742363;11686.8210337932;11686.8210337932;1220.2529666591647;0.0;13700.0;37.13702571053511;0.0;15403.0;-61594.744988254904;-59333.759999999995;-2260.98498825491;0.0;17629.87;5999.999999999997;-3443.0999429123794
45;2;116;322.96000435346326;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;8373.750920240687;12006.12127555782;12006.12127555782;37869.99506161379;39329.66255027347;39329.66255027347;5574.000510174994;11686.8210337932;11686.8210337932;1324.9682047059737;0.0;13700.0;1.6537654375366944;0.0;15403.0;-59144.368452174545;-56962.56;-2181.8084521745486;0.0;17629.87;5999.999999999999;-3443.0999429123794
46;2;116;302.69786972823664;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;7740.559150474811;12006.12127555782;12006.12127555782;35337.2286738242;39329.66255027347;39329.66255027347;5067.447112423742;11686.8210337932;11686.8210337932;1302.4695381878917;0.0;13700.0;0.9440603983049635;0.0;15403.0;-55448.64852610961;-53392.32;-2056.328526109607;0.0;17629.87;5999.999999999991;-3443.0999429123794
47;2;116;279.44246079162946;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;7013.827552938561;12006.12127555782;12006.12127555782;32430.303035754518;39329.66255027347;39329.66255027347;4486.061854053745;11686.8210337932;11686.8210337932;1241.5053099448348;0.0;13700.0;0.9035627300232456;0.0;15403.0;-51172.60130709206;-49263.36;-1909.241307092058;0.0;17629.87;5999.999999999988;-3443.0999429123794
48;2;116;262.41808214086944;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;6481.815671726231;12006.12127555782;12006.12127555782;30302.256043677073;39329.66255027347;39329.66255027347;4060.452363016436;11686.8210337932;11686.8210337932;1121.3271408921473;0.0;13700.0;0.9440603983049635;0.0;15403.0;-47966.79527199689;-46169.28;-1797.5152719968892;0.0;17629.87;5999.999999999987;-3443.0999429123794
49;3;138;251.0921787917487;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;6127.881156569499;12006.12127555782;12006.12127555782;28886.518373221556;39329.66255027347;39329.66255027347;3777.304761121906;11686.8210337932;11686.8210337932;2438.189303761951;0.0;13700.0;1.2142661522501956;0.0;15403.0;-47231.10785356642;-45456.0;-1775.1078535664226;0.0;17629.87;5999.9999999999945;-3443.0999429123794
50;3;138;246.09207762056485;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;5971.627979424517;12006.12127555782;12006.12127555782;28261.50583563444;39329.66255027347;39329.66255027347;3652.3022238851227;11686.8210337932;11686.8210337932;2671.494466275439;0.0;13700.0;1.2109466712434975;0.0;15403.0;-46558.14144482815;-44806.08;-1752.0614448281497;0.0;17629.87;6000.000000000002;-3443.0999429123794
51;3;138;246.15889749502293;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;5973.716099459049;12006.12127555782;12006.12127555782;28269.85832715125;39329.66255027347;39329.66255027347;3653.9727202138897;11686.8210337932;11686.8210337932;2841.910331410378;0.0;13700.0;1.2023160206260821;0.0;15403.0;-46740.659787205914;-44981.759999999995;-1758.8997872059192;0.0;17629.87;6000.000000000009;-3443.0999429123794
52;3;138;252.4758598207858;-2.32388860312669e-11;21072.96994291268;17629.87;21072.96994291268;6171.121188935131;12006.12127555782;12006.12127555782;29059.478500097757;39329.66255027347;39329.66255027347;3811.8967869572207;11686.8210337932;11686.8210337932;2962.7697167788983;0.0;13700.0;1.2222329066662714;0.0;15403.0;-48006.48841841241;-46202.88;-1803.6084184124154;0.0;17629.87;5999.999999999991;-3443.0999429123794
