Timestep;Day;DayOfYear;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
11;1;32;154.73056762493073;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;2145.203441041693;2145.203441041757;2145.203441041757;9570.828799173238;9570.828799172587;9570.828799172587;912.1764270010735;2899.0751003770793;2899.0751003770793;2181.683658098061;0.0;5315.0;198.1808976187019;0.0;8788.0;-12308.92482187371;-11834.88;-474.0448218737117;0.0;15468.46;-2699.147201766089;853.3526925324056
12;1;32;139.9028141914904;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;2145.203441041518;2145.203441041757;2145.203441041757;9570.828799173234;9570.828799172587;9570.828799172587;665.0477718238506;2899.0751003770793;2899.0751003770793;2299.5045021107035;0.0;5315.0;327.31787941071025;0.0;8788.0;-12308.755575141804;-11832.96;-475.7955751418054;0.0;15468.46;-2699.147265360425;853.3526925324056
13;1;32;116.56331990758085;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1923.8491817011247;2145.203441041757;2145.203441041757;9570.828799173218;9570.828799172587;9570.828799172587;276.0540687763718;2899.0751003770793;2899.0751003770793;2645.959593181647;0.0;5315.0;434.2739933605002;0.0;8788.0;-12151.818900603397;-11679.359999999999;-472.45890060339804;0.0;15468.46;-2699.1472410896267;853.3526925324056
14;1;32;110.78422480010698;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1743.2639480708058;2145.203441041757;2145.203441041757;9570.828799173205;9570.828799172587;9570.828799172587;179.73862013853864;2899.0751003770793;2899.0751003770793;2731.7677740063464;0.0;5315.0;442.6437691337172;0.0;8788.0;-12067.61615943569;-11597.76;-469.85615943569104;0.0;15468.46;-2600.6265472318432;853.3526925324056
15;1;32;104.94378633131478;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1560.8099296865016;2145.203441041757;2145.203441041757;9570.828799173174;9570.828799172587;9570.828799172587;82.41170521674225;2899.0751003770793;2899.0751003770793;2642.9042785818638;0.0;5315.0;536.0273777262036;0.0;8788.0;-11830.571523575247;-11369.279999999999;-461.29152357524754;0.0;15468.46;-2562.4085257990328;853.3526925324056
16;1;32;103.9883406501527;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1530.94397531006;2145.203441041757;2145.203441041757;9570.828799173165;9570.828799172587;9570.828799172587;66.48575498497117;2899.0751003770793;2899.0751003770793;2560.911943904807;0.0;5315.0;633.744028856916;0.0;8788.0;-11563.962323634489;-11112.96;-451.0023236344896;0.0;15468.46;-2798.9503808871564;853.3526925324056
17;1;32;107.98077757697659;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1655.6562335026274;2145.203441041757;2145.203441041757;9570.828799173194;9570.828799172587;9570.828799172587;133.01450187676411;2899.0751003770793;2899.0751003770793;2368.963452724477;0.0;5315.0;344.80397647438724;0.0;8788.0;-11379.698831365346;-10936.32;-443.3788313653459;0.0;15468.46;-2693.567928281942;853.3526925324056
18;1;32;123.03977077233274;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;2126.249619535282;2145.203441041757;2145.203441041757;9570.828799173225;9570.828799172587;9570.828799172587;383.99769319271525;2899.0751003770793;2899.0751003770793;2374.3091542400693;0.0;5315.0;20.656991425576248;0.0;8788.0;-11752.521911741957;-11296.32;-456.2019117419575;0.0;15468.46;-2723.520145044918;853.3526925324056
19;1;32;126.30280475777899;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;2145.2034410396445;2145.203441041757;2145.203441041757;9570.828799173227;9570.828799172587;9570.828799172587;438.3725928799133;2899.0751003770793;2899.0751003770793;2538.175127919083;0.0;5315.0;0.0;0.0;8788.0;-12192.580945470077;-11719.68;-472.9009454700765;0.0;15468.46;-2500.000000000077;853.3526925324056
20;1;32;117.85488299112936;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1964.1996417453142;2145.203441041757;2145.203441041757;9570.82879917322;9570.828799172587;9570.828799172587;297.5778539635132;2899.0751003770793;2899.0751003770793;2445.4957863469576;0.0;5315.0;0.0;0.0;8788.0;-11778.102548483841;-11320.32;-457.78254848384216;0.0;15468.46;-2500.0000000000405;853.3526925324056
21;1;32;101.59571105965071;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1456.0997464209763;2145.203441041757;2145.203441041757;9570.828799173127;9570.828799172587;9570.828799172587;26.59136181843662;2899.0751003770793;2899.0751003770793;2506.2328029089767;0.0;5315.0;0.0;0.0;8788.0;-11059.752335980564;-10628.16;-431.59233598056295;0.0;15468.46;-2500.0007030177194;853.3526925324056
22;1;32;95.18538276634098;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1255.8538720810195;2145.203441041757;2145.203441041757;9399.944067196571;9570.828799172587;9570.828799172587;0.0;2899.0751003770793;2899.0751003770793;2544.356095296486;0.0;5315.0;0.0;0.0;8788.0;-10409.082649864678;-10002.24;-406.8426498646795;0.0;15468.46;-2791.0692471123384;853.3526925324056
23;1;32;92.27640001787276;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1165.0033078144756;2145.203441041757;2145.203441041757;9037.931899857782;9570.828799172587;9570.828799172587;0.0;2899.0751003770793;2899.0751003770793;2533.976817929453;0.0;5315.0;0.0;0.0;8788.0;-10214.565688790397;-9815.039999999999;-399.5256887903979;0.0;15468.46;-2522.342255655579;853.3526925324056
24;1;32;91.09140225719072;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1127.8563071890917;2145.203441041757;2145.203441041757;8886.425338717758;9570.828799172587;9570.828799172587;0.0;2899.0751003770793;2899.0751003770793;2463.6210555482617;0.0;5315.0;0.0;0.0;8788.0;-9977.90270165517;-9587.52;-390.3827016551691;0.0;15468.46;-2500.0000000002237;853.3526925324056
25;2;116;97.85642551578178;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1339.290086248245;2145.203441041757;2145.203441041757;9570.82879901269;9570.828799172587;9570.828799172587;0.0;2899.0751003770793;2899.0751003770793;390.1658724603576;0.0;5315.0;0.0;0.0;8788.0;-8417.75462231896;-8088.96;-328.7946223189605;0.0;15468.46;-2882.529306353339;853.3526925324056
